frame,t_sec,face_idx,x1,y1,x2,y2,label,score,yaw_raw_deg,pitch_raw_deg,yaw_smooth_deg,pitch_smooth_deg,focused,alert,distracted_for_sec
74,2.959,2,27,592,88,645,UNKNOWN,0.3280,0.54,-16.49,1.60,-17.20,1,0,0.000
75,2.999,0,999,570,1059,616,AVA,0.9860,48.28,-7.62,47.70,-9.30,0,1,7.214
75,2.999,1,1336,642,1382,682,43f196cb,0.9105,47.49,-15.63,48.00,-16.20,0,1,7.214
75,2.999,2,27,592,88,645,UNKNOWN,0.3331,0.75,-17.20,1.30,-17.20,1,0,0.000
76,3.039,0,1000,570,1059,616,AVA,0.9858,47.07,-6.45,47.50,-8.30,0,1,7.312
76,3.039,1,1336,642,1382,682,43f196cb,0.9109,47.72,-15.87,47.90,-16.10,0,1,7.312
76,3.039,2,26,592,87,645,UNKNOWN,0.2442,-1.79,-19.59,0.20,-18.00,0,0,0.000
77,3.079,0,1000,570,1059,616,AVA,0.9848,47.22,-6.32,47.40,-7.60,0,1,7.407
77,3.079,1,1336,642,1382,682,43f196cb,0.9140,47.89,-15.91,47.90,-16.00,0,1,7.407
77,3.079,2,26,592,87,644,UNKNOWN,0.2685,-5.59,-18.12,-1.80,-18.10,0,0,0.095
78,3.119,0,1000,570,1059,616,AVA,0.9848,46.26,-5.69,47.00,-7.00,0,1,7.499
78,3.119,1,1336,642,1382,682,43f196cb,0.9071,45.56,-15.80,47.10,-16.00,0,1,7.499
78,3.119,2,26,592,87,645,UNKNOWN,0.2494,-3.88,-19.72,-2.50,-18.60,0,0,0.187
79,3.159,0,1000,570,1060,616,AVA,0.9840,47.06,-7.45,47.00,-7.10,0,1,7.596
79,3.159,1,25,592,86,644,UNKNOWN,0.2741,-0.91,-13.79,-2.00,-16.90,1,0,0.000
79,3.159,2,1336,642,1382,682,43f196cb,0.9098,47.35,-15.47,47.20,-15.80,0,1,7.596
80,3.199,0,1000,570,1059,616,AVA,0.9846,46.77,-3.23,46.90,-5.80,0,1,7.689
80,3.199,1,25,592,86,644,UNKNOWN,0.2731,-0.77,-13.72,-1.50,-15.80,1,0,0.000
80,3.199,2,1336,642,1382,682,43f196cb,0.9135,47.35,-15.47,47.20,-15.70,0,1,7.689
81,3.239,0,1001,570,1060,616,AVA,0.9861,47.90,-8.32,47.30,-6.70,0,1,7.780
81,3.239,1,25,592,87,644,UNKNOWN,0.2579,-1.57,-18.15,-1.60,-16.60,1,0,0.000
81,3.239,2,1336,642,1382,682,43f196cb,0.9139,46.76,-15.63,47.10,-15.70,0,1,7.780
82,3.279,0,1000,570,1060,616,AVA,0.9861,48.20,-8.81,47.60,-7.40,0,1,7.876
82,3.279,1,25,592,87,644,UNKNOWN,0.2671,-0.37,-19.26,-1.10,-17.60,1,0,0.000
82,3.279,2,1336,642,1382,682,43f196cb,0.9118,47.97,-15.29,47.40,-15.50,0,1,7.876
83,3.319,0,1000,570,1060,616,AVA,0.9893,48.04,-7.27,47.80,-7.40,0,1,7.971
83,3.319,1,25,592,87,644,UNKNOWN,0.2778,1.11,-18.57,-0.40,-17.90,1,0,0.000
83,3.319,2,1336,642,1382,682,43f196cb,0.9162,48.89,-16.88,47.90,-16.00,0,1,7.971
